,Погрузка на сети млн тонн,Грузооборот млрд тарифных тонно-км,каменного угля млн тонн,кокса млн тонн,нефти и нефтепродуктов млн тонн,руды железной и марганцевой млн тонн,черных металлов млн тонн,лома черных металлов млн тонн,химических и минеральных удобрений млн тонн,цемента млн тонн,лесных грузов млн тонн,зерна млн тонн,строительных грузов млн тонн,руды цветной и серного сырья млн тонн,химикатов и соды млн тонн,промышленного сырья и формовочных материалов млн тонн,в том числе грузов в контейнерах млн тонн,в контейнерах млн тонн
01.03.2024,95.9,200.8,56.9,1.9,34.8,17.0,10.3,1.1,11.0,2.6,4.5,5.2,15.5,2.6,3.5,4.9,18.8,
01.02.2024,94.8,207.1,29.1,0.9291,17.6,8.4,5.1,0.4044,5.6,1.1,2.2,2.4,7.1,1.3,1.8,2.4,9.3,
01.12.2023,101.5,216.8,321.1,10.5,191.6,101.8,62.3,12.9,58.0,23.1,24.5,29.5,121.8,16.4,19.9,29.7,108.6,
01.11.2023,103.3,222.6,291.6,9.6,173.9,93.1,56.9,11.7,52.7,21.3,22.5,26.4,111.9,15.0,18.1,26.8,98.7,
02.10.2023,100.9,211.4,262.8,8.6,156.7,84.0,51.0,10.4,47.1,19.2,20.4,23.2,101.2,13.6,16.3,23.8,88.5,
01.09.2023,103.7,218.1,235.3,7.7,139.8,75.4,45.3,9.0,41.8,17.0,18.3,20.3,90.1,12.1,14.5,20.7,78.5,
01.08.2023,103.1,219.8,207.5,6.6,122.6,66.7,39.6,7.5,36.4,14.5,16.1,17.4,78.4,10.5,12.6,17.5,68.3,
03.07.2023,101.4,212.9,179.1,5.6,105.5,57.6,33.9,6.3,31.0,11.8,13.9,15.1,66.3,9.0,10.9,14.4,58.4,
01.06.2023,106.7,225.0,151.1,4.7,89.4,48.2,28.6,5.2,25.7,9.3,11.7,12.8,54.6,7.5,9.1,11.4,48.6,
02.05.2023,105.5,221.6,121.6,3.7,72.1,38.0,22.6,3.9,20.3,6.8,9.4,10.3,42.3,5.9,7.2,8.5,38.3,
03.04.2023,109.1,236.3,91.8,2.8,54.2,28.1,16.6,2.5,15.2,4.6,6.9,7.6,31.0,4.3,5.4,6.2,28.1,
01.03.2023,97.2,212.1,59.5,1.8,35.6,18.5,10.5,1.4,10.0,2.5,4.3,4.8,19.4,2.8,3.6,4.0,17.8,
01.02.2023,99.2,228.4,30.4,0.9232,18.5,9.6,5.4,0.42510000000000003,5.2,1.1,2.1,2.3,9.1,1.4,1.8,2.0,9.0,
01.12.2022,103.5,221.1,323.2,9.3,197.0,106.2,60.9,12.2,55.4,23.5,29.1,21.3,123.8,16.6,20.9,28.8,103.5,
01.11.2022,107.0,223.2,291.7,8.6,178.6,96.6,55.8,11.3,50.4,21.9,27.0,18.7,113.3,15.3,19.0,26.4,93.6,
03.10.2022,100.8,213.5,260.5,7.8,160.0,86.7,50.5,10.0,45.3,19.7,24.9,16.2,101.0,13.9,17.2,23.9,83.7,
01.09.2022,103.6,220.7,232.2,6.9,142.7,77.4,45.5,8.7,40.7,17.2,22.7,14.0,88.6,12.4,15.4,21.5,74.6,
01.08.2022,102.1,213.8,203.7,6.1,125.0,67.6,40.2,7.4,35.6,14.6,20.3,12.0,75.7,10.8,13.7,19.0,65.3,
01.07.2022,100.0,209.0,176.2,5.2,107.0,58.3,34.8,6.5,30.6,11.8,17.8,10.5,62.5,9.2,12.0,16.4,56.1,
01.06.2022,104.6,226.8,149.3,4.4,89.5,48.8,29.8,5.7,25.6,9.2,15.0,9.2,50.0,7.6,10.1,13.5,47.1,
04.05.2022,102.4,222.5,120.5,3.6,72.1,38.7,24.1,4.0,20.6,6.9,12.1,7.6,37.7,5.9,8.2,10.8,37.6,
01.04.2022,106.7,234.3,91.2,2.8,55.4,29.1,18.0,2.9,16.0,4.8,8.9,5.6,26.4,4.3,6.2,8.3,28.1,
01.02.2022,104.1,224.6,31.8,0.973,19.5,9.7,6.1,0.698,5.5,1.3,2.9,1.9,8.4,1.5,2.1,2.7,9.2,
01.12.2021,108.0,225.6,340.7,10.9,197.7,110.3,62.8,15.0,59.2,24.9,38.7,22.6,117.6,18.2,22.2,32.5,101.2,
01.11.2021,110.3,231.0,309.3,9.8,178.6,100.2,56.7,13.7,53.7,22.9,35.6,20.4,108.0,16.6,20.1,29.5,91.5,
01.10.2021,106.4,217.1,276.9,8.8,160.1,90.2,50.7,12.3,48.3,20.4,32.3,18.0,97.1,15.0,18.1,26.4,81.6,
01.09.2021,109.0,220.9,246.1,7.7,142.5,80.5,45.3,10.8,43.2,17.9,28.9,15.6,85.8,13.3,16.1,23.5,72.5,
02.08.2021,108.0,217.2,215.5,6.7,124.3,70.0,40.0,9.5,37.9,15.1,25.4,13.6,73.6,11.6,14.1,20.2,62.3,
01.07.2021,107.0,214.5,185.5,5.7,106.6,59.4,34.4,8.0,32.6,12.2,21.6,12.3,61.7,9.9,12.2,17.0,53.8,
01.06.2021,110.9,227.5,155.0,4.7,89.9,49.5,28.8,6.3,27.4,9.3,17.9,11.0,49.4,8.2,10.2,13.6,44.5,
11.05.2021,107.8,225.2,123.3,3.7,72.2,38.9,22.9,4.7,21.8,6.8,14.3,9.3,37.0,6.4,8.1,10.5,35.0,
01.04.2021,109.4,226.9,92.1,2.8,54.2,28.7,17.0,3.1,16.5,4.5,10.5,7.5,26.2,4.7,6.1,7.7,25.5,
